    Delta     Theta       Chi       Phi        Mu     Gamma
 113.6647   85.7031  -90.0000    0.0000    0.0000   -0.4700
 113.9919   86.0823  -90.0000    0.0000    0.0000   -0.4650
 114.3230   86.4627  -90.0000    0.0000    0.0000   -0.4550
 114.6582   86.8443  -90.0000    0.0000    0.0000   -0.4450
 114.9974   87.2271  -90.0000    0.0000    0.0000   -0.4400
 115.3406   87.6111  -90.0000    0.0000    0.0000   -0.4300
 115.6880   87.9964  -90.0000    0.0000    0.0000   -0.4200
 116.0395   88.3830  -90.0000    0.0000    0.0000   -0.4150
 116.3953   88.7708  -90.0000    0.0000    0.0000   -0.4050
 116.7554   89.1600  -90.0000    0.0000    0.0000   -0.4000
 117.1198   89.5505  -90.0000    0.0000    0.0000   -0.3900
 117.4885   89.9425  -90.0000    0.0000    0.0000   -0.3800
 117.8618   90.3358  -90.0000    0.0000    0.0000   -0.3750
 118.2395   90.7306  -90.0000    0.0000    0.0000   -0.3650
 118.6218   91.1268  -90.0000    0.0000    0.0000   -0.3550
 119.0088   91.5246  -90.0000    0.0000    0.0000   -0.3500
 119.4004   91.9238  -90.0000    0.0000    0.0000   -0.3400
 119.7969   92.3247  -90.0000    0.0000    0.0000   -0.3300
 120.1982   92.7272  -90.0000    0.0000    0.0000   -0.3250
 120.6044   93.1313  -90.0000    0.0000    0.0000   -0.3150
 121.0157   93.5372  -90.0000    0.0000    0.0000   -0.3100
 121.4321   93.9447  -90.0000    0.0000    0.0000   -0.3000
 121.8536   94.3541  -90.0000    0.0000    0.0000   -0.2900
 122.2805   94.7653  -90.0000    0.0000    0.0000   -0.2850
 122.7127   95.1783  -90.0000    0.0000    0.0000   -0.2750
 123.1505   95.5933  -90.0000    0.0000    0.0000   -0.2650
 123.5939   96.0103  -90.0000    0.0000    0.0000   -0.2600
 124.0429   96.4293  -90.0000    0.0000    0.0000   -0.2500
 124.4978   96.8504  -90.0000    0.0000    0.0000   -0.2400
 124.9587   97.2737  -90.0000    0.0000    0.0000   -0.2350
